review_id,platform,type,tokenized_text
IMDB_0001,imdb,film,back definitive version pride prejudice brought everyone know saw agrees simply best much acting having colin firth darcy isn bad biggest reason adore made version long long allows story unfold slowly never rushed unfortunately every movie version seen too rushed hard shove wonderful story two hour time slot matter good movie quite good cannot hope equal mini series shame actually much like keira knightly version music great locations top notch bennett girls actually look proper ages example mgm version actual ages actresses mid almost bennetts supposed teenagers advice ahead watch film really lovely yourself favor find version thankful believe
IMDB_0002,imdb,film,book wonderful jane austen definitely better film dealing consequences love social differences late century film certainly handsome looking some truly beautiful locations costumes nice script some excellent performances keira knightly lizzie particular judi dench lady catherine donald sutherland yeah saw right quite charming bennett put awkward accent aside liked matthew macfadyen darcy handsome looks say prefer colin firth interpretation sublime mini series firth seemed adopt likable sympathetic approach character liked way film dealt period look social differences while lot pride liked seen little prejudice anything film done being twenty minutes longer felt wasn quite enough content book again long time since read
IMDB_0003,imdb,film,before start like say can read read book read title movie before watching quite disappointed pompous idiots filled prejudice movie know another version well mined jane austen classic need brilliant indeed such diverse beautifully written characters such delightful plot deeply rooted profound understanding human nature timelessly attractive directors actors audiences alike give them break couldn any better lets start darcy darcys embodied olivier firth now matthew mcfadyen bring differently significance enjoy proud socially awkward leading male role where olivier firth gave aloof arrogant darcy encased rigidly shell impenetrable almost impossible believe moved lizzie sardonic criticisms attracted spirited independence mcfadyen shows accessible darcy vulnerable even fragile behind stiff manners aloofness believably social inadequacy arrogance yet believably constrained social standing regard decorum
IMDB_0004,imdb,film,jane austen tale love economics reaches once energy thorough novelty pride prejudice favorite novel mine since first read seen laurence olivier greer garson colin firth jennifer ehle now matthew macfadyen kiera knightly amazingly enough never disappointed material seems full proof colin firth darcy many ways darcy always imagined actor followed feverishly since glorious adrian leduc apartment zero matthew macfadyen totally new managed create sense longing makes final pay off satisfying kiera knightly ravishing revelation must confess didn remotely imagined capable powerful range brilliantly shows here other big surprise joe wright director feature film debut promising extraordinary photography art direction spectacular supporting cast particular donald sutherland brenda blethyn makes new version perennial classic memorable evening movies
IMDB_0005,imdb,film,modernised version jane austen classic novel compared unfavourably hollywood olivier garson version nor several bbc serials culminating most acclaimed series version colin firth jennifer ehle personal favourite film clocks minutes europe minutes usa canada extended version allowing audiences share timeless love story main characters elizabeth bennet darcy director joe wright plus screenwriters oscar winner emma thompson contributed final screenplay chosen emphasise elizabeth bennet darcy plus jane bennet bingley story lines reduce wickman charlotte collins supporting characters austen famous witsatire humour forms basis enduring appeal pride prejudice finally published continues annual bestseller sidelined open version emotional drama modern audiences open newer interpretation can avoid comparisons nearly hour version allowed greater depth detail telling characters story lines accept some new film rushed story lines treat new british star keira knightley elizabeth bennet excels first real leading actress role ably supported fellow brit rosamund pike jane bennet sisters supportive each other bennett family problems knightley right age characterthis allows elizabeth girlish personality plus character pride misjudgements loving nature shine through great star turns brenda blethyn mother mrs bennet plus oscar winner judi dench fearsome lady bourgh darcy aunt add depth film version claudie blakley elizabeths wise friend charlotte lucas simon wood amusing bingley delightful supporting performers major surprise canadian actor donald sutherland touching performance bennet capturing both humour living female household five daughters look after poignancy seeing eldest children difficult relationships develop easily best acting performance years difficult role darcy rising british star matthew macfadyen bbc spy series spooks award winning new zealand film father den rises occasion short running time enough time allow darcy repressed prejudiced personality fully represented macfadyen perfectly displays darcy social class problems unfortunate attempts gaining eliabeth bennet interest painful adjustments achieve personal love story macfayden knightley objectionable first dancetheir embarrassingly moving collins house meetingthe unexpected pemberley encounter plus two proposal scenes highlights film engaging acting performances wondrous film photographyfilm locations some united kingdom most famous stately homes marvellous film sets costumes plus best original music scores add greatly new film version better films perfect film making intended subtle austen novel wonderful surprise some changes present modern version pride prejudice current audiences see film released worldwide after seeing film visiting bbc series read original novel classic storyline memorable characters austen brilliant writing style
IMDB_0006,imdb,film,pride prejudice began pride prejudice attempt well regarded five hour classic colin firth bbc mini series poorly filmed visually utterly recreating text austen original ends being awkward sort awful movie know sacriledge some switched after hour seen before two minutes sucked think biggest first point true austen must find way put make feel text facts truth translation film effect final truth movie manages short two hours yes filmic film gorgeous thoughtful handles scenes light movement camera capturing space wonderful film physical level particular scenes middle especially party where camera follows action character character through several rooms glorious long take fills sensation being beautifully might say keira knightly movie
IMDB_0007,imdb,film,atonement tendancy dramatic ambiance given mention anna karenina starring knightley works kind dramatization purists probably hate makes original take classic own dignity beauty add knightly filming shows amazing depth young actress recommended
IMDB_0008,imdb,film,pride prejudice always favourite books any screen incarnation live certain personal expectations character style etc course gold standard bbc series other reviewers pointed luxury several episodes cover story here takes two hours truly delighted enjoy movie much lot live first thing must say exquisitely photographed atmosphere set beautiful cinematography perfect film deserves nominated oscar basis alone awe technical crew director find such unspoiled vistas such perfect weather england say brit used live close some eastern england locations sat right through end credits see where shot because assumed must filmed some remote rural continental european locale felt quite ashamed doubted ability native land still provide such delightful scenery mist rising off early morning fields geese perfect farm pond
IMDB_0009,imdb,film,fantastic romantic world jane austen again makes way silver screen joe wright new adaptation classic novel pride prejudice first feature film adapted years believe say does disappoint adaptation lack better word brilliant achievement keeps actively involved first scene last scene consuming aching romance sprinkled humour intelligence still taking place late still interweaving story timeless emotion pride narrow mindedness love pride prejudice zooms bennet household class conscious stuck england household follow five spirited sisters under idealism overbearing mother superbly neurotic brenda blethlyn providing comic relief desperately wants them marry thereby secure future family estate standout sister protagonist film lizzie keira knightley clever enough other ideas alas too romantic carry them sigh reviewing period films such often focuses setting costume design believe done because often better crafted actual story pride prejudice
IMDB_0010,imdb,film,outstanding macfadyen worthy darcy darned good actor boot scenery backgrounds country folk much realistic previous versions costumes hairdos seemed keeping times another great addition priceless donald sutherland perfect world scenes judy densch those two can chew scenery nobody can finally keira knightly jewel beauty apparent almost detracts fact good actress can hold own any room delight only wish hours long
