review_id,platform,type,tokenized_text
WF_0001,watchapedia,film,오만 사람 사랑 만들 편견 사람 사랑 못하 만들
WF_0002,watchapedia,film,사랑 내려놓 다아시 오만 사랑 벗기 버리 리지 편견 그대로 서로 바라보 간단 어렵 사랑 시작점 대하
WF_0003,watchapedia,film,사랑 사람 생기 아빠 아빠 영화 마지막 장면 생각
WF_0004,watchapedia,film,여명 멀리 새벽 안개 성큼성큼 기품 리지 걸어오 다아시
WF_0005,watchapedia,film,흔하 키스 없이 달달하
WF_0006,watchapedia,film,사랑 싹트 위하 권하 다아시 리지 듯이 무도회 다아시 곧장 사실 만남 이후 모든 그녀
WF_0007,watchapedia,film,원작 영화 쌍둥이 떨리 때문 디테일
WF_0008,watchapedia,film,빗속
WF_0009,watchapedia,film,영화 아름답 배경 가장 인상 배우 외모 중간중간 깨알 유머
WF_0010,watchapedia,film,최고 영화 영화 영화
WF_0011,watchapedia,film,긴장감 스릴러 온종일 가슴 두근두근 서로 대하 오만 편견 눈빛 대화 열정 어리 싸움 모든 사랑 과정
WF_0012,watchapedia,film,원작 훼손 스크린 옮기
WF_0013,watchapedia,film,첫인상 중요 색안경 영화 원작 제목 첫인상 오만 버리 편견
WF_0014,watchapedia,film,무뚝뚝 정하 알리 영화
WF_0015,watchapedia,film,가장 좋아하 로맨스 영화 특히 앨리자벳 아시 영국식 발음 매튜맥퍼딘 절절 눈빛 연기 질리 영화
WF_0016,watchapedia,film,편견 사람 사랑 만들 오만 사람 사랑 만들
WF_0017,watchapedia,film,방대 소설 내용 압축 개연 다아시 갑자기 고백 시대 재현 의상 키이라 나이틀리 찡긋
WF_0018,watchapedia,film,영화 키이라 나이틀리 빠지 라이트 감독 제인 오스틴 영화 잔잔 순간 지루 없이 아름답 오만 그녀 편견
WF_0019,watchapedia,film,어슴푸레 새벽녘 오만 편견 안개 걷히 따사 빛나 태양 사랑 다시 비추 황홀
WF_0020,watchapedia,film,상상 소설 세계 그대로 재현 느낌 고전 언제나
WF_0021,watchapedia,film,과거 추억 생각 행복
WF_0022,watchapedia,film,사랑 자만 오만 사랑 지나가 느끼 자괴감 편견 감정 스스로 부여 후회 인물 보이 완벽 작품 행동 보이 사랑 인정 오래 걸리 빙빙 마음 다잡 머무르 사람 아빠 20.1.26 190
WF_0023,watchapedia,film,다아시 남자 현실 존재 다시 태어나 사람 선택
WF_0024,watchapedia,film,보이 문학 들리 텍스트 짜릿
WF_0025,watchapedia,film,키이라 나이틀리 연기 미모 최고 작품 주인공 엘리자베스역 대체 불가 정도 자체 커플 성격 비슷 표현 장애 오만과 편견 열정 가슴 집안 셋째 데려가 속담 베일 어째 첫째 둘째 투톱 첫째 제인 로자먼드파이크 캐스팅 맞추
WF_0026,watchapedia,film,이미 오만 원작 대하 편견 가지 영화 감독
WF_0027,watchapedia,film,
WF_0028,watchapedia,film,총명 까맣 눈동자 나이트리 강아지 애처롭 시크 매튜 맥퍼딘 훈훈 조화
WF_0029,watchapedia,film,사랑 존재 인정 아버지 존재 인정 입맞춤 어둠 거두 떠오르 햇살 모든 오만 편견 굴레 던지 버리 설레 장면
WF_0030,watchapedia,film,다아시 고백 엘리자베스 대하 대응 미숙 자존심 때문 강경 행동 더욱 끌리 영화
WF_0031,watchapedia,film,서로
WF_0032,watchapedia,film,대하 편견 흔히 오만 신드롬 오만 지폐 단위 생기 물가 상식 충돌 생겨나 이를테면 조카 세배 올리 적당 올리 녀석 눈빛 빛나 떨리 분명 이거 색깔 비슷하 생각 조카 녀석 오천 충분 오천 얼굴 나오 틀리 증명 위하 조카 놀이터 나가 7200 가량 녀석 노려보 씩씩거리 조카 녀석 내팽겨치 스킨 라빈스 파인트 시키
WF_0033,watchapedia,film,수채화 풍경 읖조리 진중 대화
WF_0034,watchapedia,film,콜린 퍼스 나오 그거 드라마 콜린 퍼스 나오 삼각 관계 긴장
WF_0035,watchapedia,film,당시 영국 사회 분위기 엘리자베스 매력 캐릭터 탄생 제인 오스틴 경의 음악 영상 연기 영어 발음 아름답 영화 번역 자막 다시 엘리자베스 다아시 사랑 이해
WF_0036,watchapedia,film,원작 소설 도전 시도 실패 내용 모르 다가오 줄기
WF_0037,watchapedia,film,제인 오스틴 오만 소리 아직 못하 편견 없이 힘들 결혼 신분 상승 생계 유지 유일 방법 시대 감내 여성 가엽 버겁 러닝 타임 견디 힘들 영상미 명화 고급 여튼 로자먼드 파이크
WF_0038,watchapedia,film,때로 사람 오랫동안 진가 겉모습 한순간 행동 판단 버리 진정 사랑 놓치 버리 모르 다아시 멋있 아버지 만만
WF_0039,watchapedia,film,영국 발음 최고 돌리 모르
WF_0040,watchapedia,film,장막 걷히 틈새 들어오 찬란 순수 향기 풍기
WF_0041,watchapedia,film,소리 없이 가득 달빛 고이 심란 잊히 그것 공백 가만히 눈감 더욱 또렷 의식 부분 그대 이다지 그윽
WF_0042,watchapedia,film,라이트 장르 품격 부여 기술 화면 쏟아지 대사 사이 침묵 눈빛 교환 감독 배우 만들 모든 사소 요소 모이 놀랍 감정 깊이 지니 영화 나오
WF_0043,watchapedia,film,키이라 나이틀리 이쁘 마차 불쑥 에스 코트 장면 최고
WF_0044,watchapedia,film,영국 자랑 워킹타이틀 가공 고전 문학 백미 세월 흐르 유효 제인 오스틴 원작 재미 만족감 극대 영화 미술 매력 작품
WF_0045,watchapedia,film,시대극 위하 태어나 키이라 나이틀리 라이트
WF_0046,watchapedia,film,원작 정중히 인사 워킹타이틀 사랑 스럽
WF_0047,watchapedia,film,시절 돌아가 압도 비주얼
WF_0048,watchapedia,film,수록 빠지 다아시 엘리자베스 사랑 이야기 다아시 여운 헤어나오 힘들 원작 펼치 영화
WF_0049,watchapedia,film,오만 넘치 세상 정도 사실 포함 편견 빠지 여자 구원 사랑 헌신 가능 제목 오만 편견 전체 스토리 충분히 처지 내용 스토리 평화 스피디 전개 상당히 훌륭 장면 하나하나 섬세 감독 영화 들이 보이
WF_0050,watchapedia,film,여러 상상 주인공 움직이 느낌 완벽 싱크로율 키이라 나이틀리
WF_0051,watchapedia,film,오만 사랑 사랑 사랑 연속 고백 편견 부수 받아들이 자체 사랑
WF_0052,watchapedia,film,우연 시선 엇갈리 손끝 스치 디테일 표현 사랑 시작 감미 오프닝 리지 무도회 유영 핸드 헬드 카메라 워크 알렉산더 소쿠로프 감독 러시아 방주 2002 연상 시리즈 오만과 편견 1995 인도 배경 코믹 버젼 신부 편견 2004 2013.3.9 감상 2017.8.20 감상 2019.3.12 9.10 2021.1.10 2023.3.4 감상
WF_0053,watchapedia,film,리지 나이틀리 어울리 생각 원작 대하 애착 별점
WF_0054,watchapedia,film,부드럽 촬영 기법 흥미 전개 아름답 배경 주책 바가지 엄마 자매 헌신 겸손 다시 아름답 부녀 사랑
WF_0055,watchapedia,film,세기 넘나들 섬세 로맨스
WF_0056,watchapedia,film,소설 모든 내용 담아내 영화 러닝 타임 삭제 장면 아쉽 소설 그대로 담아내 그림 장면 아름답
WF_0057,watchapedia,film,로맨스 역시 드라마
WF_0058,watchapedia,film,오만 편견 편견 오만
WF_0059,watchapedia,film,남자 오만 여자 편견 그것 사랑 상관 보이 영화
WF_0060,watchapedia,film,아름답 아름답 아름답
WF_0061,watchapedia,film,여자 역시 사랑 사랑 제인 엘리자벳 사랑 스럽
WF_0062,watchapedia,film,연기 분위기 원작 어울리 작품 그녀 존재감 처음 느끼
WF_0063,watchapedia,film,안개 편견 걷히 쏟아지 사랑 햇살
WF_0064,watchapedia,film,사랑 시작 어렵 이유
WF_0065,watchapedia,film,오만 편견 영화 감탄 최고 드라마 마아크 다아시 아직 생생히 떠오르 명작
WF_0066,watchapedia,film,고집 스럽 이기 오만 오해 인하 편견 뛰어넘 마법 진실 사랑
WF_0067,watchapedia,film,만점 제목
WF_0068,watchapedia,film,편협 넓히 영화 단점 먼저 보이 장점 가리
WF_0069,watchapedia,film,엇갈리 조각 제자리 돌아가
WF_0070,watchapedia,film,위태 오만 편견 가리 사랑 분명
WF_0071,watchapedia,film,츤데레 원조 성공 로맨틱 코미디 공식 관객 주인공 사랑 빠지
WF_0072,watchapedia,film,소소하 오디오 비주얼 비주얼 오디오
WF_0073,watchapedia,film,마음 달라지 드리 영혼 매료 하루 헤어지 유나늘
WF_0074,watchapedia,film,라이트 활용 예술
WF_0075,watchapedia,film,영화 자락 베넷 미소 감히 모든 아버지 감정 대변
WF_0076,watchapedia,film,논리 철학 보고서 주제 주제 오만 편견 연애 관계 악영향 끼치 어떠 논리 오류 일으키 곰곰히 생각 모든 해결책 진심 어리 소통 자존심 아무런 도움
WF_0077,watchapedia,film,영화 처음 자극 흥미진진 막장 가장 중요 로맨틱
WF_0078,watchapedia,film,고전 옮기 영화 가장 좋아하 영화 군더더기 로맨틱하 거기 섹시 남주
WF_0079,watchapedia,film,고전 명작 아름답 영상미 아버지 사랑 돋보이 리즈 귀엽 미소 다아시 설레 눈빛 소품 음악 위트 대사
WF_0080,watchapedia,film,
WF_0081,watchapedia,film,영상미 영화 음악 훌륭
