collocate,빈도,MI,T_score,log_likelihood
sutherland,28,7.7002,5.2661,260.6241
donald,23,7.5582,4.7704,206.9736
mother,12,7.7681,3.4482,109.3822
miscast,5,9.0727,2.2319,55.3223
family,8,6.0663,2.7862,52.8199
addled,3,12.1431,1.7317,50.6362
daughters,6,6.6674,2.4254,44.5176
bumpkin,3,10.5582,1.7309,44.0444
portrays,4,8.4707,1.9944,40.2528
doting,3,10.1431,1.7305,39.547
suffering,3,9.8212,1.7301,37.3169
elizabeth,9,4.2282,2.8399,36.9395
like,8,4.2139,2.676,32.5661
bennet,7,4.4437,2.5242,30.5398
character,6,4.7043,2.3555,28.1926
loves,3,7.8212,1.7244,27.1576
seems,4,5.8033,1.9642,24.7001
brenda,4,5.8033,1.9642,24.7001
sisters,4,5.79,1.9639,24.6262
especially,4,5.604,1.9589,23.5953
country,3,6.8952,1.7175,23.0983
lot,4,5.5138,1.9562,23.0972
relationship,3,6.6513,1.7148,22.054
plays,3,6.3882,1.7114,20.9368
woman,3,6.0346,1.7056,19.4476
can,5,4.0857,2.1044,19.2939
girls,3,5.8952,1.7029,18.8644
bennett,4,4.7316,1.9247,18.8273
things,3,5.6353,1.6972,17.7826
original,3,5.6196,1.6968,17.7172
fact,3,5.5284,1.6945,17.3397
beautiful,4,4.4033,1.9055,17.0651
blethyn,3,5.4289,1.6918,16.9283
favorite,3,5.4017,1.6911,16.816
love,5,3.7052,2.0646,16.8088
only,4,4.2961,1.8982,16.4937
actually,3,5.1208,1.6823,15.6619
part,3,5.1097,1.6819,15.6166
long,3,5.0346,1.6792,15.3096
role,3,4.8952,1.6738,14.7416
him,3,4.7423,1.6673,14.121
lizzie,3,4.6919,1.665,13.9175
little,3,4.5507,1.6581,13.3481
times,3,4.5065,1.6558,13.1706
does,3,4.3039,1.6444,12.3602
darcy,5,2.9612,1.9489,12.1178
scene,3,4.1375,1.6336,11.6994
movie,6,2.3975,1.9846,10.5954
most,3,3.8485,1.6118,10.5636
version,4,2.9416,1.7397,9.5512
novel,3,3.2789,1.5536,8.379
good,3,3.1375,1.5352,7.8501
jane,3,2.6573,1.4575,6.107
film,3,1.8775,1.2607,3.517
