collocate,빈도,MI,T_score,log_likelihood
mrs,172,7.1953,13.0254,1760.7539
elizabeth,239,5.5709,15.1344,1552.2091
family,85,6.0874,9.084,607.5616
blethyn,63,6.4329,7.8454,491.1032
brenda,62,6.3692,7.7788,475.0247
sutherland,72,5.6745,8.3191,460.7621
donald,65,5.6687,7.9038,414.6692
knightley,85,4.6936,8.8633,414.6316
keira,84,4.4074,8.7333,374.5189
sisters,47,5.9563,6.7452,322.0844
darcy,87,3.694,8.6067,301.4347
jane,71,3.8338,7.8352,258.0386
collins,33,5.1919,5.5874,183.544
character,44,4.1905,6.27,180.1681
girls,28,5.7293,5.1918,180.0269
pike,27,5.6029,5.0892,167.8117
daughters,27,5.4491,5.0772,160.9931
played,28,5.2493,5.1524,158.0625
rosamund,25,5.6438,4.9,157.0219
five,23,5.7627,4.7075,149.0318
lizzie,31,4.6729,5.3495,147.9472
between,33,4.4134,5.475,145.1177
knightly,32,4.4834,5.404,143.9089
house,24,5.4511,4.787,143.0842
movie,68,2.5117,6.8002,131.1321
household,16,6.5849,3.9583,128.9495
like,40,3.1475,5.6108,107.3745
miss,18,5.111,4.1199,97.481
other,29,3.6016,4.9416,94.7185
matthew,27,3.7008,4.7965,91.7177
too,29,3.4656,4.8977,89.4755
does,24,3.9157,4.5744,88.4627
relationship,14,5.4854,3.6581,84.0543
much,30,3.1941,4.8788,81.9772
performance,20,4.188,4.2268,81.1971
especially,18,4.3856,4.0397,78.0819
better,22,3.7901,4.3514,77.2589
role,19,4.1699,4.1167,76.6277
bingley,20,4.0161,4.1957,76.3915
cast,21,3.8549,4.2659,75.5746
parents,11,5.8744,3.2601,73.226
good,29,3.0223,4.7223,72.8602
love,30,2.9019,4.7444,70.88
annoying,12,5.3973,3.3819,70.3025
portrayal,15,4.6174,3.7152,70.0436
england,14,4.7484,3.6025,68.0602
witty,12,5.263,3.3739,67.737
quite,18,3.9475,3.9676,66.9999
country,11,5.3814,3.2371,64.148
catherine,14,4.5343,3.5802,63.66
book,32,2.5887,4.7165,63.4516
lizzy,15,4.3086,3.6775,63.3602
lydia,13,4.7206,3.4688,62.6452
really,24,3.0824,4.3206,61.9908
mary,11,5.2031,3.2266,61.0419
actress,13,4.5849,3.4553,60.054
most,21,3.2676,4.1067,59.1543
mother,13,4.4953,3.4457,58.3605
well,26,2.7882,4.3608,57.6664
alison,7,6.6553,2.6195,57.4698
why,16,3.839,3.7205,57.1337
home,11,4.9289,3.2077,56.4051
even,20,3.2344,3.997,55.4575
steadman,7,6.5178,2.6169,55.2803
old,13,4.3005,3.4226,54.7284
characters,23,2.848,4.1297,52.6297
perfect,15,3.7459,3.5843,51.6459
century,13,4.1289,3.3995,51.5814
macfadyen,17,3.387,3.729,50.4494
eldest,7,6.1699,2.609,50.3342
wonderful,15,3.6759,3.57,50.2299
father,11,4.5419,3.1742,50.096
woman,11,4.5208,3.1721,49.7597
lady,13,4.0124,3.3821,49.4719
estate,8,5.5849,2.7695,49.2741
another,13,4.0,3.3802,49.249
plays,10,4.7369,3.0437,48.3909
novel,22,2.7651,4.0005,48.081
servants,7,5.9773,2.6038,47.8398
play,11,4.3255,3.1512,46.6726
strong,10,4.5611,3.0283,45.8084
job,13,3.8042,3.3475,45.7575
choice,9,4.8804,2.8981,45.4672
supportive,4,8.1699,1.9931,45.326
him,14,3.5764,3.428,44.9986
looking,10,4.4695,3.0195,44.4801
class,11,4.1699,3.1324,44.2506
looks,11,4.1536,3.1303,43.9989
thought,15,3.3557,3.4946,43.8652
always,12,3.86,3.2255,43.1358
married,8,5.0824,2.7449,42.8642
first,17,3.0237,3.6161,42.5151
personality,8,5.0406,2.7425,42.3503
chaos,4,7.5849,1.9896,42.0822
wife,8,5.0,2.74,41.8534
mud,6,6.0544,2.4126,41.8398
version,26,2.2538,4.0299,41.2919
off,12,3.7105,3.1995,40.6985
life,12,3.6996,3.1975,40.5224
farm,7,5.3334,2.5801,40.2465
serene,4,7.1699,1.9861,39.7807
story,23,2.3625,3.8633,39.3086
film,32,1.9043,4.1456,38.8231
sharp,6,5.6674,2.4013,37.7655
poor,9,4.2737,2.8449,37.5008
some,18,2.678,3.5797,37.3619
portrayed,10,3.9069,2.9515,36.563
animals,6,5.5069,2.3956,36.1687
makes,11,3.5849,3.0402,35.4419
together,8,4.442,2.6983,35.2464
think,15,2.8722,3.344,34.6439
attractive,7,4.8073,2.5513,34.5785
work,11,3.5104,3.0256,34.3524
actors,13,3.1356,3.1953,34.2965
scene,14,2.9716,3.2647,34.0502
dench,10,3.6974,2.9185,33.715
judi,9,3.9648,2.8079,33.6126
showed,6,5.1699,2.3814,32.9446
visit,5,5.7914,2.1957,32.5204
elisabeth,5,5.7914,2.1957,32.5204
looked,8,4.1926,2.6737,32.4072
macfayden,8,4.1926,2.6737,32.4072
daughter,6,5.111,2.3786,32.3965
kindly,3,7.7549,1.724,32.2642
nagging,3,7.7549,1.724,32.2642
dysfunctional,3,7.7549,1.724,32.2642
poorer,4,6.5849,1.9792,32.1703
nervous,4,6.5849,1.9792,32.1703
suitors,4,6.5849,1.9792,32.1703
real,9,3.8163,2.787,31.7809
british,8,4.1255,2.6664,31.6539
wise,5,5.6845,2.1926,31.6083
fitzwilliam,5,5.6845,2.1926,31.6083
funny,7,4.5178,2.5303,31.5984
seemed,9,3.8007,2.7847,31.59
marriage,7,4.4854,2.5276,31.2699
age,7,4.4537,2.525,30.9496
put,8,4.0614,2.659,30.9382
jena,6,4.9475,2.3701,30.8955
riley,5,5.5849,2.1895,30.7759
hollander,7,4.4227,2.5224,30.6371
women,9,3.7105,2.7708,30.4909
though,11,3.237,2.9649,30.4243
perfectly,8,4.0,2.6516,30.2568
where,11,3.2115,2.9586,30.0629
spirited,5,5.4918,2.1864,30.0104
intelligent,6,4.848,2.3644,29.9955
course,9,3.6674,2.7639,29.9693
resonate,3,7.1699,1.72,29.8313
uncle,3,7.1699,1.72,29.8313
wit,7,4.3334,2.5145,29.7429
only,14,2.7152,3.1719,29.6291
sister,8,3.9411,2.6443,29.6066
contrast,5,5.4044,2.1833,29.3019
tom,7,4.2768,2.5093,29.1799
ball,7,4.2768,2.5093,29.1799
ehle,9,3.5849,2.75,28.9763
playing,7,4.2493,2.5066,28.9075
such,12,2.9475,3.015,28.7981
being,11,3.1215,2.9355,28.7979
darcey,4,6.1699,1.9722,28.7458
longbourn,4,6.1699,1.9722,28.7458
willed,4,6.1699,1.9722,28.7458
mad,4,6.1699,1.9722,28.7458
rest,6,4.6674,2.3531,28.387
believable,6,4.6674,2.3531,28.387
casting,8,3.8123,2.6271,28.1972
however,11,3.0671,2.9209,28.0382
see,16,2.3984,3.2413,27.8994
each,9,3.4943,2.7338,27.894
gives,7,4.1444,2.4961,27.8731
girl,7,4.1193,2.4935,27.6273
beautiful,13,2.7155,3.0566,27.505
eliza,4,6.0,1.9687,27.4847
amazing,9,3.4572,2.7268,27.4529
made,12,2.848,2.983,27.3176
captured,6,4.5069,2.3418,26.9819
american,5,5.0995,2.1708,26.9016
portraying,5,5.0995,2.1708,26.9016
look,9,3.4091,2.7176,26.8843
rather,9,3.4091,2.7176,26.8843
austin,7,4.0231,2.483,26.6897
marry,6,4.4695,2.3389,26.6568
brilliant,8,3.6621,2.605,26.5728
playful,4,5.848,1.9653,26.4036
kiera,8,3.6,2.5952,25.9083
actually,9,3.3175,2.6991,25.8083
part,9,3.3064,2.6968,25.6792
second,7,3.9112,2.4699,25.6093
instead,7,3.9112,2.4699,25.6093
fact,8,3.5552,2.5878,25.4304
lay,3,6.7549,1.716,25.3465
pop,3,6.7549,1.716,25.3465
arch,3,6.7549,1.716,25.3465
lovely,7,3.8687,2.4646,25.2023
every,11,2.848,2.856,25.0295
enough,9,3.2418,2.6829,24.9274
oscar,6,4.2313,2.3191,24.6173
surprisingly,4,5.5849,1.9583,24.6152
lives,5,4.7914,2.1553,24.5669
found,9,3.2105,2.6759,24.5656
script,8,3.4695,2.5731,24.5226
liked,8,3.4695,2.5731,24.5226
great,13,2.5172,2.9757,24.4287
charming,6,4.2003,2.3162,24.3548
plus,5,4.7369,2.1522,24.1625
example,6,4.1699,2.3134,24.0985
particularly,6,4.1699,2.3134,24.0985
isn,7,3.7484,2.4489,24.057
couldn,7,3.7484,2.4489,24.057
capturing,4,5.4695,1.9549,23.8572
actor,7,3.6918,2.441,23.5226
beauty,6,4.0824,2.3049,23.3645
right,8,3.3497,2.551,23.2672
successful,4,5.3625,1.9514,23.1678
down,8,3.337,2.5485,23.1348
working,3,6.4329,1.712,23.129
focuses,3,6.4329,1.712,23.129
rustic,3,6.4329,1.712,23.129
beloved,5,4.5849,2.1429,23.0453
female,5,4.5849,2.1429,23.0453
pretty,7,3.6197,2.4305,22.8451
through,9,3.0544,2.6389,22.7764
main,7,3.5849,2.4253,22.5203
others,6,3.9475,2.2907,22.2431
austen,19,1.8671,3.164,22.1247
pigs,4,5.1699,1.9444,21.9523
proud,6,3.8969,2.2851,21.8258
brings,5,4.4044,2.1305,21.7393
malone,5,4.4044,2.1305,21.7393
charismatic,3,6.1699,1.708,21.5552
behave,3,6.1699,1.708,21.5552
bewitching,3,6.1699,1.708,21.5552
remind,3,6.1699,1.708,21.5552
farmers,3,6.1699,1.708,21.5552
empty,3,6.1699,1.708,21.5552
depicted,4,5.0824,1.941,21.4107
nominated,4,5.0824,1.941,21.4107
truly,7,3.4537,2.4043,21.3036
almost,8,3.1587,2.5117,21.2956
young,7,3.4381,2.4016,21.16
many,11,2.5472,2.7492,21.0374
can,14,2.1828,2.9176,20.9742
suitable,4,5.0,1.9375,20.9053
two,10,2.6716,2.666,20.5977
netherfield,4,4.922,1.934,20.4318
wealthy,5,4.2064,2.1149,20.3326
describes,3,5.9475,1.704,20.3261
step,3,5.9475,1.704,20.3261
anxious,3,5.9475,1.704,20.3261
chickens,3,5.9475,1.704,20.3261
hilarious,3,5.9475,1.704,20.3261
fellow,3,5.9475,1.704,20.3261
exactly,5,4.1699,2.1118,20.0758
younger,5,4.1699,2.1118,20.0758
find,7,3.319,2.3806,20.0714
living,4,4.848,1.9306,19.9864
independent,4,4.848,1.9306,19.9864
far,8,3.0201,2.4798,19.8915
supposed,5,4.1343,2.1087,19.8261
man,7,3.2908,2.3754,19.8146
point,6,3.6463,2.2539,19.7882
roles,6,3.6256,2.251,19.6215
hold,4,4.7776,1.9271,19.566
appears,4,4.7776,1.9271,19.566
felt,7,3.2493,2.3675,19.44
little,9,2.7474,2.5532,19.3522
supporting,5,4.0656,2.1025,19.3466
oldest,3,5.7549,1.7,19.3157
propriety,3,5.7549,1.7,19.3157
charles,3,5.7549,1.7,19.3157
unconvincing,3,5.7549,1.7,19.3157
heroines,3,5.7549,1.7,19.3157
distinction,3,5.7549,1.7,19.3157
comes,6,3.5849,2.2454,19.2959
seems,7,3.2224,2.3623,19.197
general,4,4.7105,1.9236,19.1681
heroine,4,4.7105,1.9236,19.1681
trying,5,4.0324,2.0994,19.1163
missed,4,4.6463,1.9201,18.7904
problems,4,4.6463,1.9201,18.7904
seem,6,3.5069,2.234,18.6746
after,8,2.8845,2.4454,18.5383
may,7,3.1444,2.3465,18.498
brought,5,3.9372,2.0901,18.459
across,5,3.9372,2.0901,18.459
born,3,5.5849,1.696,18.4574
feisty,3,5.5849,1.696,18.4574
project,3,5.5849,1.696,18.4574
cousin,3,5.5849,1.696,18.4574
since,6,3.4695,2.2284,18.3778
performances,6,3.4695,2.2284,18.3778
romantic,8,2.848,2.4356,18.1778
disappointment,4,4.526,1.9132,18.0883
portray,4,4.526,1.9132,18.0883
lively,4,4.526,1.9132,18.0883
fantastic,5,3.8771,2.0839,18.0467
live,5,3.8771,2.0839,18.0467
scenes,9,2.6256,2.5139,18.0321
different,7,3.0704,2.3308,17.8404
convinced,3,5.4329,1.692,17.7112
latter,3,5.4329,1.692,17.7112
pictured,3,5.4329,1.692,17.7112
vision,3,5.4329,1.692,17.7112
everybody,3,5.4329,1.692,17.7112
feel,8,2.7949,2.4209,17.6566
fine,5,3.8194,2.0777,17.6528
gave,5,3.7914,2.0746,17.4624
dame,4,4.415,1.9062,17.4474
giggling,4,4.415,1.9062,17.4474
while,8,2.7605,2.411,17.3215
awful,4,4.3625,1.9028,17.1469
charm,4,4.3625,1.9028,17.1469
care,4,4.3625,1.9028,17.1469
kind,5,3.7369,2.0684,17.0937
nice,5,3.7369,2.0684,17.0937
apparent,3,5.2954,1.6879,17.0514
mainly,3,5.2954,1.6879,17.0514
lower,3,5.2954,1.6879,17.0514
whole,7,2.966,2.3072,16.9227
fresh,4,4.263,1.8958,16.5806
somewhat,4,4.263,1.8958,16.5806
year,5,3.6589,2.059,16.5686
dirty,3,5.1699,1.6839,16.4602
talulah,3,5.1699,1.6839,16.4602
mess,3,5.1699,1.6839,16.4602
concerned,3,5.1699,1.6839,16.4602
fully,4,4.1699,1.8889,16.0555
managed,4,4.1699,1.8889,16.0555
literature,4,4.1699,1.8889,16.0555
people,8,2.623,2.3693,15.9959
hands,3,5.0544,1.6799,15.9248
standing,3,5.0544,1.6799,15.9248
gentry,3,5.0544,1.6799,15.9248
understood,3,5.0544,1.6799,15.9248
imagined,3,5.0544,1.6799,15.9248
sympathetic,3,5.0544,1.6799,15.9248
full,5,3.5611,2.0466,15.9153
star,4,4.1255,1.8854,15.8067
day,5,3.5376,2.0435,15.7596
yes,5,3.5376,2.0435,15.7596
place,5,3.5376,2.0435,15.7596
match,4,4.0824,1.8819,15.5662
middle,4,4.0824,1.8819,15.5662
miscast,3,4.9475,1.6759,15.4358
themselves,4,4.0406,1.8785,15.3336
get,8,2.5478,2.3447,15.2826
superb,5,3.4474,2.0311,15.164
bbc,10,2.2018,2.4749,15.1568
fall,4,4.0,1.875,15.1084
now,6,3.0406,2.1518,15.0599
state,3,4.848,1.6719,14.9858
jennifer,6,3.0269,2.149,14.9567
actresses,4,3.9604,1.8715,14.8901
view,4,3.9604,1.8715,14.8901
favorite,6,3.0134,2.1461,14.8545
silly,4,3.8845,1.8646,14.4728
chemistry,5,3.3219,2.0125,14.3437
loved,7,2.6644,2.2284,14.3359
outside,3,4.6674,1.6639,14.1817
tension,3,4.6674,1.6639,14.1817
appearance,3,4.6674,1.6639,14.1817
ways,4,3.8123,1.8576,14.079
mention,4,3.8123,1.8576,14.079
them,8,2.3951,2.2907,13.859
come,5,3.2439,2.0,13.8393
homes,3,4.5849,1.6599,13.8193
mostly,3,4.5849,1.6599,13.8193
accent,3,4.5849,1.6599,13.8193
clever,3,4.5849,1.6599,13.8193
intelligence,3,4.5849,1.6599,13.8193
english,6,2.836,2.1064,13.5323
dance,4,3.7105,1.8472,13.5272
less,5,3.188,1.9907,13.4807
afraid,3,4.5069,1.6559,13.4792
developed,3,4.5069,1.6559,13.4792
call,3,4.5069,1.6559,13.4792
let,5,3.152,1.9845,13.2502
read,10,2.0242,2.3849,13.2224
shows,4,3.6463,1.8403,13.1825
doing,3,4.4329,1.6519,13.1589
opening,3,4.4329,1.6519,13.1589
wrong,5,3.1168,1.9783,13.0262
top,4,3.6153,1.8368,13.0165
acting,8,2.2995,2.2539,12.987
perfection,3,4.3625,1.6479,12.8563
himself,3,4.3625,1.6479,12.8563
near,3,4.3625,1.6479,12.8563
words,4,3.5552,1.8299,12.6961
turns,3,4.2954,1.6438,12.5695
key,3,4.2954,1.6438,12.5695
except,3,4.2313,1.6398,12.2972
male,3,4.2313,1.6398,12.2972
society,4,3.442,1.816,12.0978
whose,3,4.1699,1.6358,12.0379
gentleman,3,4.1699,1.6358,12.0379
lacks,3,4.1699,1.6358,12.0379
justice,4,3.415,1.8125,11.9562
bad,5,2.9372,1.9441,11.8974
convincing,3,4.111,1.6318,11.7905
needed,3,4.111,1.6318,11.7905
must,6,2.565,2.0356,11.5719
timeless,3,4.0544,1.6278,11.554
towards,3,4.0544,1.6278,11.554
focus,3,4.0544,1.6278,11.554
wonderfully,3,4.0544,1.6278,11.554
set,5,2.8625,1.9286,11.4345
said,5,2.848,1.9255,11.3453
started,3,4.0,1.6238,11.3275
shown,3,4.0,1.6238,11.3275
away,4,3.263,1.7917,11.1655
greatest,3,3.9475,1.6198,11.1104
laugh,3,3.9475,1.6198,11.1104
mcfadyen,3,3.9475,1.6198,11.1104
throughout,4,3.2157,1.7847,10.9219
completely,5,2.7776,1.91,10.9143
none,3,3.8969,1.6158,10.9018
outstanding,3,3.8969,1.6158,10.9018
act,3,3.8969,1.6158,10.9018
therefore,3,3.8969,1.6158,10.9018
husband,3,3.8969,1.6158,10.9018
takes,4,3.1926,1.7812,10.8035
become,3,3.848,1.6118,10.7011
own,5,2.7236,1.8975,10.5868
leads,3,3.8007,1.6078,10.5079
aspect,3,3.8007,1.6078,10.5079
watching,6,2.4061,1.9874,10.4591
sense,5,2.6974,1.8913,10.4285
both,6,2.3885,1.9817,10.3377
essence,3,3.7549,1.6037,10.3216
shy,3,3.7549,1.6037,10.3216
ever,6,2.3625,1.9732,10.159
proposal,3,3.7105,1.5997,10.1418
slightly,3,3.7105,1.5997,10.1418
music,5,2.6215,1.8727,9.9733
modern,5,2.6215,1.8727,9.9733
beginning,3,3.6674,1.5957,9.968
small,3,3.6674,1.5957,9.968
obviously,3,3.6674,1.5957,9.968
giving,3,3.6256,1.5917,9.7999
nor,3,3.6256,1.5917,9.7999
eyes,4,2.9801,1.7465,9.7273
emotional,3,3.5849,1.5877,9.6372
idea,3,3.5849,1.5877,9.6372
incredible,3,3.5849,1.5877,9.6372
came,4,2.9604,1.7431,9.6293
drama,4,2.9604,1.7431,9.6293
locations,3,3.5454,1.5837,9.4796
expected,3,3.5454,1.5837,9.4796
favourite,3,3.5454,1.5837,9.4796
our,3,3.5454,1.5837,9.4796
final,3,3.5454,1.5837,9.4796
prejudice,12,1.4811,2.2232,9.4173
versions,4,2.9031,1.7326,9.3442
around,4,2.9031,1.7326,9.3442
use,3,3.5069,1.5797,9.3267
leave,3,3.5069,1.5797,9.3267
over,6,2.2313,1.9278,9.2698
excellent,5,2.4918,1.8385,9.2082
time,11,1.5366,2.1734,9.1854
moment,3,3.4695,1.5757,9.1783
feelings,3,3.4695,1.5757,9.1783
wasn,4,2.8661,1.7257,9.1614
here,5,2.4695,1.8323,9.0778
tale,3,3.4329,1.5717,9.0342
lot,5,2.4474,1.8261,8.9499
indeed,3,3.3973,1.5677,8.8941
acted,3,3.3973,1.5677,8.8941
sets,3,3.3973,1.5677,8.8941
extremely,3,3.3973,1.5677,8.8941
sometimes,3,3.3973,1.5677,8.8941
want,5,2.4257,1.8199,8.8243
true,5,2.4257,1.8199,8.8243
best,6,2.1624,1.9023,8.812
didn,6,2.1624,1.9023,8.812
rich,3,3.3286,1.5596,8.6254
compared,3,3.3286,1.5596,8.6254
disappointed,4,2.7436,1.7014,8.5622
viewer,3,3.2954,1.5556,8.4964
humor,3,3.2954,1.5556,8.4964
parts,3,3.2954,1.5556,8.4964
way,7,1.8951,1.9344,8.2893
make,6,2.0824,1.8711,8.2889
moments,3,3.2313,1.5476,8.2481
piece,3,3.2313,1.5476,8.2481
things,4,2.6621,1.684,8.1689
adaptations,3,3.2003,1.5436,8.1286
bennets,3,3.1699,1.5396,8.012
world,3,3.1699,1.5396,8.012
along,3,3.1699,1.5396,8.012
setting,3,3.1699,1.5396,8.012
don,6,2.0338,1.8513,7.975
because,7,1.8377,1.9056,7.8773
bit,5,2.2534,1.7671,7.844
side,3,3.111,1.5316,7.787
doesn,4,2.5117,1.6493,7.4557
pride,11,1.3602,2.0247,7.4499
previous,3,3.0,1.5155,7.367
often,3,2.9735,1.5115,7.2676
colin,6,1.9094,1.7974,7.1891
plot,4,2.442,1.6319,7.1308
give,4,2.4017,1.6215,6.9449
reason,3,2.8722,1.4955,6.8904
reading,3,2.8722,1.4955,6.8904
know,5,2.074,1.705,6.8576
believe,4,2.3497,1.6076,6.7068
seen,7,1.633,1.7927,6.4623
perhaps,3,2.7325,1.4714,6.3781
something,4,2.2751,1.5868,6.3688
interesting,3,2.6888,1.4634,6.2198
firth,6,1.7436,1.718,6.1812
say,6,1.727,1.7095,6.0824
opinion,3,2.6463,1.4554,6.0671
back,3,2.4881,1.4233,5.506
lines,3,2.4881,1.4233,5.506
went,3,2.4881,1.4233,5.506
making,3,2.415,1.4073,5.2518
nothing,3,2.3973,1.4033,5.1907
camera,3,2.3798,1.3993,5.1305
still,4,1.99,1.4965,5.1241
hard,3,2.2954,1.3792,4.8427
years,3,2.2791,1.3752,4.7876
everything,3,2.2471,1.3672,4.6797
enjoyed,3,2.2157,1.3592,4.5749
having,3,2.1255,1.3351,4.2771
anyone,3,2.0684,1.3191,4.0915
wright,4,1.7105,1.3889,3.9847
absolutely,3,1.9735,1.291,3.7885
thing,3,1.9347,1.279,3.6666
end,3,1.8007,1.2349,3.2549
cinematography,3,1.6153,1.1667,2.7113
never,4,1.3497,1.2153,2.6582
romance,3,1.595,1.1587,2.6537
again,3,1.565,1.1467,2.5695
joe,3,1.4695,1.1066,2.307
done,3,1.3885,1.0705,2.0924
new,3,1.3885,1.0705,2.0924
screen,3,1.3885,1.0705,2.0924
period,3,1.2873,1.0224,1.8343
watch,3,0.727,0.6856,0.6558
adaptation,3,0.5601,0.5573,0.4035
