collocate,빈도,MI,T_score,log_likelihood
눈물,6,7.5975,2.4368,53.7728
리지,8,5.7106,2.7744,50.1952
행복,6,6.9636,2.4299,48.0292
사랑,13,3.6521,3.3187,47.4099
마지막,6,6.0125,2.4115,39.7769
베넷,4,7.4782,1.9888,34.8369
남자,6,5.3057,2.3876,33.8273
생기,4,6.5851,1.9792,29.5279
장면,6,4.6611,2.3527,28.5113
멋지,4,6.1701,1.9722,27.1416
보이,5,4.6226,2.1453,23.3334
모습,4,5.3469,1.9509,22.5128
사람,5,3.5888,2.0502,16.4621
생각,4,4.1223,1.8852,15.8517
영화,8,2.3323,2.2668,14.5306
빠지,3,4.714,1.6661,14.1819
예쁘,3,4.4897,1.655,13.2717
아름답,3,3.2855,1.5544,8.5405
다아시,3,2.2756,1.3743,4.8983
