collocate,빈도,MI,T_score,log_likelihood
눈물,16,7.7837,3.9818,155.5158
마지막,20,6.5207,4.4234,151.9049
웃음,14,7.4047,3.7196,125.5958
사랑,31,3.677,5.1325,114.8634
엘리자베스,15,5.1563,3.7644,82.4332
미소,7,7.2791,2.6287,60.5256
장면,8,3.8473,2.6319,28.8048
입맞춤,3,7.4193,1.7219,26.5197
대화,4,5.8868,1.9662,25.5935
최고,6,4.3198,2.3268,25.2549
명장면,3,7.0567,1.719,24.6327
모든,6,4.1714,2.3135,24.0506
생각,7,3.7009,2.4423,23.7657
리지,6,4.0668,2.3033,23.2075
인상,4,5.4322,1.9537,22.9451
노력,3,6.6417,1.7147,22.6084
진정,4,5.3563,1.9512,22.5095
멋있,4,5.3198,1.9499,22.3008
느끼,5,4.1563,2.1107,19.8775
예쁘,5,3.9978,2.0961,18.8165
결혼,4,4.3563,1.9024,16.9335
귀엽,3,5.0172,1.6786,15.4011
기분,3,4.9787,1.6771,15.2392
감동,3,4.8691,1.6728,14.7795
기억,3,4.8343,1.6713,14.6342
진심,3,4.7031,1.6656,14.0881
너무나,3,4.5542,1.6583,13.4731
주인공,3,4.1823,1.6366,11.9569
다아시,7,2.2691,2.0969,11.408
버리,3,4.0172,1.6251,11.2939
그녀,3,3.9978,1.6236,11.2165
다시,4,3.1339,1.7722,10.5307
보이,4,3.0718,1.7621,10.221
모습,3,3.7031,1.5991,10.05
이야기,3,3.4987,1.5788,9.2545
제인,3,3.3563,1.5629,8.7071
연기,3,3.3318,1.56,8.6138
사람,5,2.36,1.8005,8.5717
대하,3,3.2609,1.5514,8.3439
편견,7,1.8252,1.8991,8.0494
원작,4,2.4869,1.6432,7.4034
소설,3,2.6721,1.4603,6.1755
아름답,3,2.0567,1.3157,4.0848
영화,7,0.9109,1.2386,2.4458
오만,3,0.6342,0.6161,0.5205
